,url,ref,name,price,rating,review_count,type,level,user,description
0,https://freeglisse.com/fr/ski-de-fond-occasion-alternatif-norme-sns/15483-ski-de-fond-occasion-toutes-marques-fixation-vieux-sns.html,15483,Ski de fond occasion Toutes marques + fixation vieux sns,9,,,ski de randonnée,Performant,Mixte,Nous déstockons un lot de ski de fond ancien modèle avec des anciennes fixationsCes skis sont de qualité C ce qui signifie qu'ils sont anciens et très usés mais feront encore quelques pistes pour prendre l'air.Fixation norme ancien snsVoici un lien pour des chaussures à bas prix afin de faire un pack vraiment pas cher.https://freeglisse.com/fr/chaussure-ski-de-fond-occasion-alternatif-norme-sns/15741-chaussure-de-ski-de-fond-occasion-toutes-marques-norme-vieux-sns.htmlAttention la photo montre un exemple de ski ce n'est pas ceux que vous recevrez. inutile de nous contacter pour choisir cela ne sera pas possible.
1,https://freeglisse.com/fr/ski-de-fond-occasion-alternatif-norme-sns/15468-ski-de-fond-occasion-toutes-marques-fixation-sns-profil.html,15468,Ski de fond occasion Toutes marques + fixation SNS Profil,15,4.8, 6,Alternatif,Débutant,Mixte,Nous déstockons un lot de ski de fondCes skis sont de qualité C ce qui signifie qu'ils sont anciens et très usés mais feront encore quelques pistes pour prendre l'air malgré le contexte.Fixation norme SNS PROFIL. Voici un lien pour des chaussures à bas prix afin de faire un pack vraiment pas cher.https://freeglisse.com/fr/chaussure-ski-de-fond-occasion-alternatif-norme-sns/15470-chaussure-de-ski-de-fond-occasion-tous-modeles-toutes-marques-norme-sns-profil.htmlAttention la photo montre un exemple de ski ce n'est pas ceux que vous recevrez. inutile de nous contacter pour choisir cela ne sera pas possible.
2,https://freeglisse.com/fr/ski-occasion-adulte-pas-cher/15149-ski-occasion-volkl-rt1-fixations.html,15149,Ski occasion Volkl RT1+ fixations,15,5, 1,Alternatif,Débutant,Mixte,Un ski maniable et précis pour ceux qui veulent continuer à progresser sur piste.Ligne de côtes: 112-65-94Rayon de 12m pour le ski en 160cm.
3,https://freeglisse.com/fr/ski-occasion-adulte-pas-cher/14724-ski-occasion-salomon-enduro-rxt-800-fixations.html,14724,Ski occasion Salomon Enduro RXT 800 + fixations,15,,,Piste,Loisir,Mixte," Précision, stabilité et polyvalence sur tout le domaine skiable. L'Enduro RXT 800 offre d'une part la puissance et la précision remarquables de la spatule au talon qui caractérisent les skis de piste traditionnels, et d'autre part la forme Rocker tout-terrain et un patin légèrement plus large, pour skier en confiance sur tout le domaine skiable. Lignes de cotes: 125-79-107Rayon 14.6 m pour un ski de 168 cm.Année: 2013Prix neuf: 460 euros"
4,https://freeglisse.com/fr/ski-occasion-junior-performance/12550-ski-occasion-junior-rossignol-sx-radical-racing-fixations.html,12550,Ski occasion junior Rossignol SX Radical Racing + fixations,19,,,All mountain,Loisir sport,Junior,"Le Radical RSX s'adresse aux jeunes skieurs confirmés qui rêvent de skier dans les traces de nos champions.Polyvalent et doté d'un noyau bois, c'est le ski idéal pour découvrir la vitesse en slalom tout en développant sa technique.Ligne de côte: 111-67-97Rayon de 11m pour les skis en 140cmPrix neuf: 250 euros"
5,https://freeglisse.com/fr/ski-occasion-freestyle-pas-cher/10902-ski-head-residue-occasion-fixations.html,10902,Ski Head Residue occasion + fixations,19,,,Piste,Performant,Mixte,Le Head Residue vous accompagnera dans votre progression en freestyle. Ce ski très joueur permet de skier sur toutes neiges en toute confiance. Un ski pour découvrir le freestyle et enchaîner ses premiers tricks.Année : 2016Prix neuf : 299 €Lignes de côtes : 109 77 103Rayon de 13.4 m pour un ski de 145 cm
6,https://freeglisse.com/fr/ski-occasion-adulte-pas-cher/12768-ski-occasion-white-doctor-ft8-fixations.html,12768,Ski occasion White Doctor FT8 + fixations,19,5, 1,Freestyle,Loisir,Mixte,Le White Doctor FT8 est le ski le plus typé piste de la gamme. Ludique et performant avec un étonnant equilibre entre la piste et le hors piste. Lignes de cotes 118 76 104Rayon de 17m pour un ski de 171cmValeur du ski neuf nu : 449 €.Année: 2013
7,https://freeglisse.com/fr/ski-occasion-adulte-pas-cher/15252-ski-occasion-dynastar-supra-rl-fixations.html,15252,Ski occasion Dynastar Supra RL + fixations,19,,,All mountain,Performant,Mixte,Ski très agile et léger qui vous permettra de vous promener en toute sécurité sur les pistes. Idéal pour un skieur débutant à moyen désirant progresser.Lignes de cotes : 110 69 96 Rayon de 12 m pour un ski de 148 cm
8,https://freeglisse.com/fr/ski-occasion-junior-loisir/14375-ski-occasion-junior-atomic-vantage-fixations.html,14375,Ski occasion Junior Atomic Vantage + fixations,19,,,Piste,Loisir,Fille,"Le Vantage Girl I/II/III est un ski polyvalent pour les jeunes skieuses qui veulent pouvoir affronter n'importe quel type de terrain. Ce ski est véritablement polyvalent : sa construction Cap Fiber lui assure agilité, longévité et accroche optimale sur piste, tandis que son Piste Rocker et sa large spatule offrent une excellente portance sur tous les terrains. Idéal pour les petites aventurières.Ligne de côtes: 114-68-96 (pour le 140cm)Rayon de 12m pour le 140cmAnnée: 2015Prix neuf: de 149euros à 199euros"
9,https://freeglisse.com/fr/ski-occasion-adulte-pas-cher/15162-ski-occasion-adulte-salomon-a-19-fixations.html,15162,Ski occasion adulte salomon à 19€ + Fixations,19,,,All mountain,Loisir sport,Mixte,Nous déstockons un lot important de skis paraboliques de location de marque salomon au prix de 19€ la paire (prix d'une journée de location). Attention la photo montre un exemple de ski ce n'est pas ceux que vous recevrez.
10,https://freeglisse.com/fr/ski-occasion-adulte-pas-cher/15163-ski-occasion-adulte-dynastar-a-19-fixations.html,15163,Ski occasion adulte Dynastar à 19€ + Fixations,19,5, 1,Piste,Loisir,Mixte,Nous déstockons un lot important de skis paraboliques de location de marque Dynastar au prix de 19€ la paire (prix d'une journée de location). Attention la photo montre un exemple de ski ce n'est pas ceux que vous recevrez.
11,https://freeglisse.com/fr/ski-occasion-adulte-pas-cher/15166-ski-occasion-adulte-rossignol-a-19-fixations.html,15166,Ski occasion adulte Rossignol à 19€ + Fixations,19,,,Piste,Loisir,Mixte,Nous déstockons un lot important de skis paraboliques de location de marque Rossignol au prix de 19€ la paire (prix d'une journée de location). Attention la photo montre un exemple de ski ce n'est pas ceux que vous recevrez.
12,https://freeglisse.com/fr/ski-occasion-adulte-pas-cher/15167-ski-occasion-adulte-atomic-a-19-fixations.html,15167,Ski occasion adulte Atomic à 19€ + Fixations,19,5, 1,Piste,Loisir,Mixte,Nous déstockons un lot important de skis paraboliques de location de marque Atomic au prix de 19€ la paire (prix d'une journée de location). Attention la photo montre un exemple de ski ce n'est pas ceux que vous recevrez.
13,https://freeglisse.com/fr/ski-occasion-adulte-pas-cher/13691-ski-occasion-scott-usa-cruz-fixations.html,13691,Ski occasion Scott USA Cruz + fixations,19,,,Piste,Loisir,Mixte," Le Cruz est un ski polyvalent idéal pour les randonnées. Sa construction en fibre de carbone, lui assure agilité et stabilité dans des conditions variables. Modèle neuf avec fixations d'occasions"
